Unnamed: 1,AtliQ,Date,Attendance
Ella Roth,Atq -370,Paid Leave ,0.5
Jayce Fuentes,Atq -433,Paid Leave ,0
Hailee Fitzpatrick,Atq -375,Paid Leave ,0
Rey Novak,Atq -475,Paid Leave ,0
Macie Callahan,Atq -368,Paid Leave ,0
Xiomara Ruiz,Atq -468,Paid Leave ,0
Weston Horton,Atq -348,Paid Leave ,2
Dean Mclaughlin,Atq -435,Paid Leave ,1
Jonah Hamilton,Atq -331,Paid Leave ,2.5
Roman Colon,Atq -426,Paid Leave ,0.5
Chris Frye,Atq -405,Paid Leave ,0
London Kim,Atq -475,Paid Leave ,0
Kenley Marsh,Atq -375,Paid Leave ,1.5
Adriel Pace,Atq -456,Paid Leave ,0
Jase Ingram,Atq -385,Paid Leave ,1.5
Adyson Moyer,Atq -484,Paid Leave ,0
Salvatore Hendrix,Atq -398,Paid Leave ,1
Tucker Austin,Atq -412,Paid Leave ,0
Cristofer Bernard,Atq -472,Paid Leave ,0
Karma Reeves,Atq -396,Paid Leave ,0
Esperanza Irwin,Atq -467,Paid Leave ,0
Ciara Allison,Atq -428,Paid Leave ,0
Demarcus Gordon,Atq -484,Paid Leave ,2
Ryann Guerrero,Atq -432,Paid Leave ,1
Rylee Mullins,Atq -421,Paid Leave ,1
Gregory Carr,Atq -485,Paid Leave ,0
Ayanna Atkins,Atq -452,Paid Leave ,0
Briley Orr,Atq -367,Paid Leave ,0
Emma Freeman,Atq -393,Paid Leave ,0
Will Mahoney,Atq -403,Paid Leave ,3
Titus Andersen,Atq -414,Paid Leave ,0
Marquis Wyatt,Atq -418,Paid Leave ,0
Nick Orozco,Atq -408,Paid Leave ,0
Gustavo Ritter,Atq -382,Paid Leave ,0
Isiah Small,Atq -373,Paid Leave ,0
Hillary Kirk,Atq -418,Paid Leave ,0
Dominique Benjamin,Atq -376,Paid Leave ,0
Nehemiah Diaz,Atq -453,Paid Leave ,0
Josh Sharp,Atq -461,Paid Leave ,0
Andrew Cummings,Atq -443,Paid Leave ,0
Maximus Mckenzie,Atq -430,Paid Leave ,0
Konner Henson,Atq -387,Paid Leave ,0
Finnegan Gilbert,Atq -385,Paid Leave ,0
Caylee Meadows,Atq -455,Paid Leave ,0
Jovani Pope,Atq -470,Paid Leave ,0
Kaley Fitzpatrick,Atq -374,Paid Leave ,0
Greta Horton,Atq -369,Paid Leave ,0
Miley Combs,Atq -372,Paid Leave ,0
Dallas Weeks,Atq -437,Paid Leave ,0
Chad Macias,Atq -400,Paid Leave ,0
Jessie Carrillo,Atq -458,Paid Leave ,0
Name,Employee Code,Sick Leave ,SL
Thanos Thakur,Atq -406,Sick Leave ,0
Jarvis Singh,Atq -462,Sick Leave ,0
Nevaeh Waller,Atq -411,Sick Leave ,0
Bo Cordova,Atq -398,Sick Leave ,0
Mekhi Singleton,Atq -438,Sick Leave ,0
Peter Pandey,Atq -366,Sick Leave ,0
Loki Lal,Atq -441,Sick Leave ,0
Phoenix Brady,Atq -436,Sick Leave ,0
Ana Little,Atq -404,Sick Leave ,1
Grace Stone,Atq -397,Sick Leave ,0
Tori Shannon,Atq -335,Sick Leave ,0
Lyric Bartlett,Atq -443,Sick Leave ,0
Kaylah Schultz,Atq -419,Sick Leave ,0
Cason David,Atq -467,Sick Leave ,0.5
Miya Hampton,Atq -450,Sick Leave ,0
Sofia Solis,Atq -405,Sick Leave ,0
Mckayla Parker,Atq -440,Sick Leave ,2
Madelynn Gray,Atq -335,Sick Leave ,0
Myla Klein,Atq -343,Sick Leave ,0
Boston Morse,Atq -334,Sick Leave ,0
April Ayers,Atq -446,Sick Leave ,0
Faith Hamilton,Atq -419,Sick Leave ,0
Janelle Raymond,Atq -393,Sick Leave ,0
Joel Cruz,Atq -396,Sick Leave ,0
Iris Woodard,Atq -459,Sick Leave ,0
Trystan Ortega,Atq -349,Sick Leave ,0
Miles Fields,Atq -438,Sick Leave ,0
Rodrigo Price,Atq -423,Sick Leave ,0
Ella Roth,Atq -370,Sick Leave ,1
Jayce Fuentes,Atq -433,Sick Leave ,0
Hailee Fitzpatrick,Atq -375,Sick Leave ,0
Rey Novak,Atq -475,Sick Leave ,0
Macie Callahan,Atq -368,Sick Leave ,0.5
Xiomara Ruiz,Atq -468,Sick Leave ,0
Weston Horton,Atq -348,Sick Leave ,0
Dean Mclaughlin,Atq -435,Sick Leave ,0
Jonah Hamilton,Atq -331,Sick Leave ,1
Roman Colon,Atq -426,Sick Leave ,0
Chris Frye,Atq -405,Sick Leave ,0
London Kim,Atq -475,Sick Leave ,0
Kenley Marsh,Atq -375,Sick Leave ,0
Adriel Pace,Atq -456,Sick Leave ,0
Jase Ingram,Atq -385,Sick Leave ,0
Adyson Moyer,Atq -484,Sick Leave ,0
Salvatore Hendrix,Atq -398,Sick Leave ,1
Tucker Austin,Atq -412,Sick Leave ,0
Cristofer Bernard,Atq -472,Sick Leave ,0
Karma Reeves,Atq -396,Sick Leave ,0
Esperanza Irwin,Atq -467,Sick Leave ,0
Ciara Allison,Atq -428,Sick Leave ,0
Demarcus Gordon,Atq -484,Sick Leave ,0
Ryann Guerrero,Atq -432,Sick Leave ,0
Rylee Mullins,Atq -421,Sick Leave ,0
Gregory Carr,Atq -485,Sick Leave ,0
Ayanna Atkins,Atq -452,Sick Leave ,0
Briley Orr,Atq -367,Sick Leave ,0
Emma Freeman,Atq -393,Sick Leave ,0
Will Mahoney,Atq -403,Sick Leave ,0
Titus Andersen,Atq -414,Sick Leave ,0
Marquis Wyatt,Atq -418,Sick Leave ,0
Nick Orozco,Atq -408,Sick Leave ,0
Gustavo Ritter,Atq -382,Sick Leave ,0
Isiah Small,Atq -373,Sick Leave ,0
Hillary Kirk,Atq -418,Sick Leave ,0
Dominique Benjamin,Atq -376,Sick Leave ,0
Nehemiah Diaz,Atq -453,Sick Leave ,0
Josh Sharp,Atq -461,Sick Leave ,0
Andrew Cummings,Atq -443,Sick Leave ,0
Maximus Mckenzie,Atq -430,Sick Leave ,0
Konner Henson,Atq -387,Sick Leave ,0
Finnegan Gilbert,Atq -385,Sick Leave ,0
Caylee Meadows,Atq -455,Sick Leave ,0
Jovani Pope,Atq -470,Sick Leave ,0
Kaley Fitzpatrick,Atq -374,Sick Leave ,0
Greta Horton,Atq -369,Sick Leave ,0
Miley Combs,Atq -372,Sick Leave ,0
Dallas Weeks,Atq -437,Sick Leave ,0
Chad Macias,Atq -400,Sick Leave ,0
Jessie Carrillo,Atq -458,Sick Leave ,0
Name,Employee Code,Birthday Leave ,BL 
Thanos Thakur,Atq -406,Birthday Leave ,0
Jarvis Singh,Atq -462,Birthday Leave ,0
Nevaeh Waller,Atq -411,Birthday Leave ,0
Bo Cordova,Atq -398,Birthday Leave ,0
Mekhi Singleton,Atq -438,Birthday Leave ,0
Peter Pandey,Atq -366,Birthday Leave ,0
Loki Lal,Atq -441,Birthday Leave ,0
Phoenix Brady,Atq -436,Birthday Leave ,0
Ana Little,Atq -404,Birthday Leave ,0
Grace Stone,Atq -397,Birthday Leave ,0
Tori Shannon,Atq -335,Birthday Leave ,0
Lyric Bartlett,Atq -443,Birthday Leave ,0
Kaylah Schultz,Atq -419,Birthday Leave ,0
Cason David,Atq -467,Birthday Leave ,0
Miya Hampton,Atq -450,Birthday Leave ,0
Sofia Solis,Atq -405,Birthday Leave ,0
Mckayla Parker,Atq -440,Birthday Leave ,0
Madelynn Gray,Atq -335,Birthday Leave ,0
Myla Klein,Atq -343,Birthday Leave ,0
Boston Morse,Atq -334,Birthday Leave ,0
April Ayers,Atq -446,Birthday Leave ,0
Faith Hamilton,Atq -419,Birthday Leave ,0
Janelle Raymond,Atq -393,Birthday Leave ,0
Joel Cruz,Atq -396,Birthday Leave ,0
Iris Woodard,Atq -459,Birthday Leave ,1
Trystan Ortega,Atq -349,Birthday Leave ,0
Miles Fields,Atq -438,Birthday Leave ,0
Rodrigo Price,Atq -423,Birthday Leave ,0
Ella Roth,Atq -370,Birthday Leave ,0
Jayce Fuentes,Atq -433,Birthday Leave ,0
Hailee Fitzpatrick,Atq -375,Birthday Leave ,0
Rey Novak,Atq -475,Birthday Leave ,0
Macie Callahan,Atq -368,Birthday Leave ,0
Xiomara Ruiz,Atq -468,Birthday Leave ,0
Weston Horton,Atq -348,Birthday Leave ,0
Dean Mclaughlin,Atq -435,Birthday Leave ,0
Jonah Hamilton,Atq -331,Birthday Leave ,0
Roman Colon,Atq -426,Birthday Leave ,0
Chris Frye,Atq -405,Birthday Leave ,0
London Kim,Atq -475,Birthday Leave ,0
Kenley Marsh,Atq -375,Birthday Leave ,0
Adriel Pace,Atq -456,Birthday Leave ,0
Jase Ingram,Atq -385,Birthday Leave ,0
Adyson Moyer,Atq -484,Birthday Leave ,0
Salvatore Hendrix,Atq -398,Birthday Leave ,0
Tucker Austin,Atq -412,Birthday Leave ,0
Cristofer Bernard,Atq -472,Birthday Leave ,0
Karma Reeves,Atq -396,Birthday Leave ,0
Esperanza Irwin,Atq -467,Birthday Leave ,0
Ciara Allison,Atq -428,Birthday Leave ,0
Demarcus Gordon,Atq -484,Birthday Leave ,0
Ryann Guerrero,Atq -432,Birthday Leave ,0
Rylee Mullins,Atq -421,Birthday Leave ,0
Gregory Carr,Atq -485,Birthday Leave ,0
Ayanna Atkins,Atq -452,Birthday Leave ,0
Briley Orr,Atq -367,Birthday Leave ,0
Emma Freeman,Atq -393,Birthday Leave ,0
Will Mahoney,Atq -403,Birthday Leave ,0
Titus Andersen,Atq -414,Birthday Leave ,0
Marquis Wyatt,Atq -418,Birthday Leave ,0
Nick Orozco,Atq -408,Birthday Leave ,0
Gustavo Ritter,Atq -382,Birthday Leave ,0
Isiah Small,Atq -373,Birthday Leave ,0
Hillary Kirk,Atq -418,Birthday Leave ,0
Dominique Benjamin,Atq -376,Birthday Leave ,0
Nehemiah Diaz,Atq -453,Birthday Leave ,0
Josh Sharp,Atq -461,Birthday Leave ,0
Andrew Cummings,Atq -443,Birthday Leave ,0
Maximus Mckenzie,Atq -430,Birthday Leave ,0
Konner Henson,Atq -387,Birthday Leave ,0
Finnegan Gilbert,Atq -385,Birthday Leave ,0
Caylee Meadows,Atq -455,Birthday Leave ,0
Jovani Pope,Atq -470,Birthday Leave ,0
Kaley Fitzpatrick,Atq -374,Birthday Leave ,0
Greta Horton,Atq -369,Birthday Leave ,0
Miley Combs,Atq -372,Birthday Leave ,0
Dallas Weeks,Atq -437,Birthday Leave ,0
Chad Macias,Atq -400,Birthday Leave ,0
Jessie Carrillo,Atq -458,Birthday Leave ,0
Name,Employee Code,Floting festival leave ,FFL
Thanos Thakur,Atq -406,Floting festival leave ,0
Jarvis Singh,Atq -462,Floting festival leave ,0
Nevaeh Waller,Atq -411,Floting festival leave ,0
Bo Cordova,Atq -398,Floting festival leave ,0
Mekhi Singleton,Atq -438,Floting festival leave ,0
Peter Pandey,Atq -366,Floting festival leave ,0
Loki Lal,Atq -441,Floting festival leave ,0
Phoenix Brady,Atq -436,Floting festival leave ,0
Ana Little,Atq -404,Floting festival leave ,0
Grace Stone,Atq -397,Floting festival leave ,0
Tori Shannon,Atq -335,Floting festival leave ,0
Lyric Bartlett,Atq -443,Floting festival leave ,0
Kaylah Schultz,Atq -419,Floting festival leave ,0
Cason David,Atq -467,Floting festival leave ,0
Miya Hampton,Atq -450,Floting festival leave ,0
Sofia Solis,Atq -405,Floting festival leave ,0
Mckayla Parker,Atq -440,Floting festival leave ,0
Madelynn Gray,Atq -335,Floting festival leave ,0
Myla Klein,Atq -343,Floting festival leave ,0
Boston Morse,Atq -334,Floting festival leave ,0
April Ayers,Atq -446,Floting festival leave ,1
Faith Hamilton,Atq -419,Floting festival leave ,0
Janelle Raymond,Atq -393,Floting festival leave ,0
Joel Cruz,Atq -396,Floting festival leave ,0
Iris Woodard,Atq -459,Floting festival leave ,0
Trystan Ortega,Atq -349,Floting festival leave ,0
Miles Fields,Atq -438,Floting festival leave ,0
Rodrigo Price,Atq -423,Floting festival leave ,0
Ella Roth,Atq -370,Floting festival leave ,0
Jayce Fuentes,Atq -433,Floting festival leave ,0
Hailee Fitzpatrick,Atq -375,Floting festival leave ,0
Rey Novak,Atq -475,Floting festival leave ,0
Macie Callahan,Atq -368,Floting festival leave ,0
Xiomara Ruiz,Atq -468,Floting festival leave ,1
Weston Horton,Atq -348,Floting festival leave ,0
Dean Mclaughlin,Atq -435,Floting festival leave ,0
Jonah Hamilton,Atq -331,Floting festival leave ,0
Roman Colon,Atq -426,Floting festival leave ,0
Chris Frye,Atq -405,Floting festival leave ,1
London Kim,Atq -475,Floting festival leave ,1
Kenley Marsh,Atq -375,Floting festival leave ,0
Adriel Pace,Atq -456,Floting festival leave ,0
Jase Ingram,Atq -385,Floting festival leave ,0
Adyson Moyer,Atq -484,Floting festival leave ,0
Salvatore Hendrix,Atq -398,Floting festival leave ,0
Tucker Austin,Atq -412,Floting festival leave ,1
Cristofer Bernard,Atq -472,Floting festival leave ,0
Karma Reeves,Atq -396,Floting festival leave ,1
Esperanza Irwin,Atq -467,Floting festival leave ,0
Ciara Allison,Atq -428,Floting festival leave ,0
Demarcus Gordon,Atq -484,Floting festival leave ,0
Ryann Guerrero,Atq -432,Floting festival leave ,0
Rylee Mullins,Atq -421,Floting festival leave ,0
Gregory Carr,Atq -485,Floting festival leave ,0
Ayanna Atkins,Atq -452,Floting festival leave ,0
Briley Orr,Atq -367,Floting festival leave ,0
Emma Freeman,Atq -393,Floting festival leave ,0
Will Mahoney,Atq -403,Floting festival leave ,0
Titus Andersen,Atq -414,Floting festival leave ,0
Marquis Wyatt,Atq -418,Floting festival leave ,0
Nick Orozco,Atq -408,Floting festival leave ,0
Gustavo Ritter,Atq -382,Floting festival leave ,0
Isiah Small,Atq -373,Floting festival leave ,0
Hillary Kirk,Atq -418,Floting festival leave ,0
Dominique Benjamin,Atq -376,Floting festival leave ,0
Nehemiah Diaz,Atq -453,Floting festival leave ,0
Josh Sharp,Atq -461,Floting festival leave ,0
Andrew Cummings,Atq -443,Floting festival leave ,0
Maximus Mckenzie,Atq -430,Floting festival leave ,0
Konner Henson,Atq -387,Floting festival leave ,0
Finnegan Gilbert,Atq -385,Floting festival leave ,0
Caylee Meadows,Atq -455,Floting festival leave ,0
Jovani Pope,Atq -470,Floting festival leave ,0
Kaley Fitzpatrick,Atq -374,Floting festival leave ,0
Greta Horton,Atq -369,Floting festival leave ,0
Miley Combs,Atq -372,Floting festival leave ,0
Dallas Weeks,Atq -437,Floting festival leave ,0
Chad Macias,Atq -400,Floting festival leave ,0
Jessie Carrillo,Atq -458,Floting festival leave ,0
Name,Employee Code,Bereavement Leave,BRL 
Thanos Thakur,Atq -406,Bereavement Leave,0
Jarvis Singh,Atq -462,Bereavement Leave,0
Nevaeh Waller,Atq -411,Bereavement Leave,0
Bo Cordova,Atq -398,Bereavement Leave,0
Mekhi Singleton,Atq -438,Bereavement Leave,0
Peter Pandey,Atq -366,Bereavement Leave,0
Loki Lal,Atq -441,Bereavement Leave,0
Phoenix Brady,Atq -436,Bereavement Leave,0
Ana Little,Atq -404,Bereavement Leave,0
Grace Stone,Atq -397,Bereavement Leave,0
Tori Shannon,Atq -335,Bereavement Leave,0
Lyric Bartlett,Atq -443,Bereavement Leave,0
Kaylah Schultz,Atq -419,Bereavement Leave,0
Cason David,Atq -467,Bereavement Leave,0
Miya Hampton,Atq -450,Bereavement Leave,0
Sofia Solis,Atq -405,Bereavement Leave,0
Mckayla Parker,Atq -440,Bereavement Leave,0
Madelynn Gray,Atq -335,Bereavement Leave,0
Myla Klein,Atq -343,Bereavement Leave,0
Boston Morse,Atq -334,Bereavement Leave,0
April Ayers,Atq -446,Bereavement Leave,0
Faith Hamilton,Atq -419,Bereavement Leave,0
Janelle Raymond,Atq -393,Bereavement Leave,0
Joel Cruz,Atq -396,Bereavement Leave,0
Iris Woodard,Atq -459,Bereavement Leave,0
Trystan Ortega,Atq -349,Bereavement Leave,0
Miles Fields,Atq -438,Bereavement Leave,0
Rodrigo Price,Atq -423,Bereavement Leave,0
Ella Roth,Atq -370,Bereavement Leave,0
Jayce Fuentes,Atq -433,Bereavement Leave,0
Hailee Fitzpatrick,Atq -375,Bereavement Leave,0
Rey Novak,Atq -475,Bereavement Leave,0
Macie Callahan,Atq -368,Bereavement Leave,0
Xiomara Ruiz,Atq -468,Bereavement Leave,0
Weston Horton,Atq -348,Bereavement Leave,0
Dean Mclaughlin,Atq -435,Bereavement Leave,0
Jonah Hamilton,Atq -331,Bereavement Leave,0
Roman Colon,Atq -426,Bereavement Leave,0
Chris Frye,Atq -405,Bereavement Leave,0
London Kim,Atq -475,Bereavement Leave,0
Kenley Marsh,Atq -375,Bereavement Leave,0
Adriel Pace,Atq -456,Bereavement Leave,0
Jase Ingram,Atq -385,Bereavement Leave,0
Adyson Moyer,Atq -484,Bereavement Leave,0
Salvatore Hendrix,Atq -398,Bereavement Leave,0
Tucker Austin,Atq -412,Bereavement Leave,0
Cristofer Bernard,Atq -472,Bereavement Leave,0
Karma Reeves,Atq -396,Bereavement Leave,0
Esperanza Irwin,Atq -467,Bereavement Leave,0
Ciara Allison,Atq -428,Bereavement Leave,0
Demarcus Gordon,Atq -484,Bereavement Leave,0
Ryann Guerrero,Atq -432,Bereavement Leave,0
Rylee Mullins,Atq -421,Bereavement Leave,0
Gregory Carr,Atq -485,Bereavement Leave,0
Ayanna Atkins,Atq -452,Bereavement Leave,0
Briley Orr,Atq -367,Bereavement Leave,0
Emma Freeman,Atq -393,Bereavement Leave,0
Will Mahoney,Atq -403,Bereavement Leave,0
Titus Andersen,Atq -414,Bereavement Leave,0
Marquis Wyatt,Atq -418,Bereavement Leave,0
Nick Orozco,Atq -408,Bereavement Leave,0
Gustavo Ritter,Atq -382,Bereavement Leave,0
Isiah Small,Atq -373,Bereavement Leave,0
Hillary Kirk,Atq -418,Bereavement Leave,0
Dominique Benjamin,Atq -376,Bereavement Leave,0
Nehemiah Diaz,Atq -453,Bereavement Leave,0
Josh Sharp,Atq -461,Bereavement Leave,0
Andrew Cummings,Atq -443,Bereavement Leave,0
Maximus Mckenzie,Atq -430,Bereavement Leave,0
Konner Henson,Atq -387,Bereavement Leave,0
Finnegan Gilbert,Atq -385,Bereavement Leave,0
Caylee Meadows,Atq -455,Bereavement Leave,0
Jovani Pope,Atq -470,Bereavement Leave,0
Kaley Fitzpatrick,Atq -374,Bereavement Leave,0
Greta Horton,Atq -369,Bereavement Leave,0
Miley Combs,Atq -372,Bereavement Leave,0
Dallas Weeks,Atq -437,Bereavement Leave,0
Chad Macias,Atq -400,Bereavement Leave,0
Jessie Carrillo,Atq -458,Bereavement Leave,0
Name,Employee Code,Leave without pay,LWP
Thanos Thakur,Atq -406,Leave without pay,0
Jarvis Singh,Atq -462,Leave without pay,0
Nevaeh Waller,Atq -411,Leave without pay,0
Bo Cordova,Atq -398,Leave without pay,0
Mekhi Singleton,Atq -438,Leave without pay,0
Peter Pandey,Atq -366,Leave without pay,0
Loki Lal,Atq -441,Leave without pay,0
Phoenix Brady,Atq -436,Leave without pay,0
Ana Little,Atq -404,Leave without pay,0
Grace Stone,Atq -397,Leave without pay,0
Tori Shannon,Atq -335,Leave without pay,0
Lyric Bartlett,Atq -443,Leave without pay,0
Kaylah Schultz,Atq -419,Leave without pay,0
Cason David,Atq -467,Leave without pay,0
Miya Hampton,Atq -450,Leave without pay,0
Sofia Solis,Atq -405,Leave without pay,0
Mckayla Parker,Atq -440,Leave without pay,0
Madelynn Gray,Atq -335,Leave without pay,0
Myla Klein,Atq -343,Leave without pay,0
Boston Morse,Atq -334,Leave without pay,0
April Ayers,Atq -446,Leave without pay,0
Faith Hamilton,Atq -419,Leave without pay,0
Janelle Raymond,Atq -393,Leave without pay,0
Joel Cruz,Atq -396,Leave without pay,0
Iris Woodard,Atq -459,Leave without pay,0
Trystan Ortega,Atq -349,Leave without pay,0
Miles Fields,Atq -438,Leave without pay,0
Rodrigo Price,Atq -423,Leave without pay,0
Ella Roth,Atq -370,Leave without pay,0
Jayce Fuentes,Atq -433,Leave without pay,0
Hailee Fitzpatrick,Atq -375,Leave without pay,0
Rey Novak,Atq -475,Leave without pay,0
Macie Callahan,Atq -368,Leave without pay,0
Xiomara Ruiz,Atq -468,Leave without pay,0
Weston Horton,Atq -348,Leave without pay,0
Dean Mclaughlin,Atq -435,Leave without pay,0
Jonah Hamilton,Atq -331,Leave without pay,0
Roman Colon,Atq -426,Leave without pay,0.5
Chris Frye,Atq -405,Leave without pay,0
London Kim,Atq -475,Leave without pay,0
Kenley Marsh,Atq -375,Leave without pay,0
Adriel Pace,Atq -456,Leave without pay,0
Jase Ingram,Atq -385,Leave without pay,0
Adyson Moyer,Atq -484,Leave without pay,0
Salvatore Hendrix,Atq -398,Leave without pay,0
Tucker Austin,Atq -412,Leave without pay,0
Cristofer Bernard,Atq -472,Leave without pay,0
Karma Reeves,Atq -396,Leave without pay,0
Esperanza Irwin,Atq -467,Leave without pay,0
Ciara Allison,Atq -428,Leave without pay,0
Demarcus Gordon,Atq -484,Leave without pay,0
Ryann Guerrero,Atq -432,Leave without pay,0
Rylee Mullins,Atq -421,Leave without pay,0
Gregory Carr,Atq -485,Leave without pay,10
Ayanna Atkins,Atq -452,Leave without pay,0
Briley Orr,Atq -367,Leave without pay,0
Emma Freeman,Atq -393,Leave without pay,1
Will Mahoney,Atq -403,Leave without pay,0
Titus Andersen,Atq -414,Leave without pay,0
Marquis Wyatt,Atq -418,Leave without pay,0
Nick Orozco,Atq -408,Leave without pay,2
Gustavo Ritter,Atq -382,Leave without pay,0
Isiah Small,Atq -373,Leave without pay,0
Hillary Kirk,Atq -418,Leave without pay,1
Dominique Benjamin,Atq -376,Leave without pay,0
Nehemiah Diaz,Atq -453,Leave without pay,0
Josh Sharp,Atq -461,Leave without pay,0
Andrew Cummings,Atq -443,Leave without pay,1
Maximus Mckenzie,Atq -430,Leave without pay,0
Konner Henson,Atq -387,Leave without pay,1
Finnegan Gilbert,Atq -385,Leave without pay,0
Caylee Meadows,Atq -455,Leave without pay,2
Jovani Pope,Atq -470,Leave without pay,0
Kaley Fitzpatrick,Atq -374,Leave without pay,0
Greta Horton,Atq -369,Leave without pay,0
Miley Combs,Atq -372,Leave without pay,1
Dallas Weeks,Atq -437,Leave without pay,0
Chad Macias,Atq -400,Leave without pay,1
Jessie Carrillo,Atq -458,Leave without pay,1
Name,Employee Code,Weekly Off,WO
Thanos Thakur,Atq -406,Weekly Off,9
Jarvis Singh,Atq -462,Weekly Off,9
Nevaeh Waller,Atq -411,Weekly Off,9
Bo Cordova,Atq -398,Weekly Off,9
Mekhi Singleton,Atq -438,Weekly Off,9
Peter Pandey,Atq -366,Weekly Off,9
Loki Lal,Atq -441,Weekly Off,9
Phoenix Brady,Atq -436,Weekly Off,9
Ana Little,Atq -404,Weekly Off,9
Grace Stone,Atq -397,Weekly Off,9
Tori Shannon,Atq -335,Weekly Off,9
Lyric Bartlett,Atq -443,Weekly Off,9
Kaylah Schultz,Atq -419,Weekly Off,9
Cason David,Atq -467,Weekly Off,9
Miya Hampton,Atq -450,Weekly Off,9
Sofia Solis,Atq -405,Weekly Off,9
Mckayla Parker,Atq -440,Weekly Off,9
Madelynn Gray,Atq -335,Weekly Off,9
Myla Klein,Atq -343,Weekly Off,9
Boston Morse,Atq -334,Weekly Off,9
April Ayers,Atq -446,Weekly Off,9
Faith Hamilton,Atq -419,Weekly Off,9
Janelle Raymond,Atq -393,Weekly Off,9
Joel Cruz,Atq -396,Weekly Off,9
Iris Woodard,Atq -459,Weekly Off,9
Trystan Ortega,Atq -349,Weekly Off,9
Miles Fields,Atq -438,Weekly Off,9
Rodrigo Price,Atq -423,Weekly Off,9
Ella Roth,Atq -370,Weekly Off,9
Jayce Fuentes,Atq -433,Weekly Off,9
Hailee Fitzpatrick,Atq -375,Weekly Off,9
Rey Novak,Atq -475,Weekly Off,9
Macie Callahan,Atq -368,Weekly Off,9
Xiomara Ruiz,Atq -468,Weekly Off,9
Weston Horton,Atq -348,Weekly Off,9
Dean Mclaughlin,Atq -435,Weekly Off,9
Jonah Hamilton,Atq -331,Weekly Off,9
Roman Colon,Atq -426,Weekly Off,9
Chris Frye,Atq -405,Weekly Off,9
London Kim,Atq -475,Weekly Off,9
Kenley Marsh,Atq -375,Weekly Off,9
Adriel Pace,Atq -456,Weekly Off,9
Jase Ingram,Atq -385,Weekly Off,9
Adyson Moyer,Atq -484,Weekly Off,9
Salvatore Hendrix,Atq -398,Weekly Off,9
Tucker Austin,Atq -412,Weekly Off,9
Cristofer Bernard,Atq -472,Weekly Off,9
Karma Reeves,Atq -396,Weekly Off,9
Esperanza Irwin,Atq -467,Weekly Off,9
Ciara Allison,Atq -428,Weekly Off,9
Demarcus Gordon,Atq -484,Weekly Off,9
Ryann Guerrero,Atq -432,Weekly Off,9
Rylee Mullins,Atq -421,Weekly Off,9
Gregory Carr,Atq -485,Weekly Off,9
Ayanna Atkins,Atq -452,Weekly Off,9
Briley Orr,Atq -367,Weekly Off,9
Emma Freeman,Atq -393,Weekly Off,9
Will Mahoney,Atq -403,Weekly Off,9
Titus Andersen,Atq -414,Weekly Off,9
Marquis Wyatt,Atq -418,Weekly Off,9
Nick Orozco,Atq -408,Weekly Off,9
Gustavo Ritter,Atq -382,Weekly Off,9
Isiah Small,Atq -373,Weekly Off,9
Hillary Kirk,Atq -418,Weekly Off,9
Dominique Benjamin,Atq -376,Weekly Off,9
Nehemiah Diaz,Atq -453,Weekly Off,9
Josh Sharp,Atq -461,Weekly Off,9
Andrew Cummings,Atq -443,Weekly Off,9
Maximus Mckenzie,Atq -430,Weekly Off,9
Konner Henson,Atq -387,Weekly Off,9
Finnegan Gilbert,Atq -385,Weekly Off,9
Caylee Meadows,Atq -455,Weekly Off,9
Jovani Pope,Atq -470,Weekly Off,9
Kaley Fitzpatrick,Atq -374,Weekly Off,9
Greta Horton,Atq -369,Weekly Off,9
Miley Combs,Atq -372,Weekly Off,9
Dallas Weeks,Atq -437,Weekly Off,9
Chad Macias,Atq -400,Weekly Off,9
Jessie Carrillo,Atq -458,Weekly Off,9
Name,Employee Code,Holidays Off,HO
Thanos Thakur,Atq -406,Holidays Off,0
Jarvis Singh,Atq -462,Holidays Off,0
Nevaeh Waller,Atq -411,Holidays Off,0
Bo Cordova,Atq -398,Holidays Off,0
Mekhi Singleton,Atq -438,Holidays Off,0
Peter Pandey,Atq -366,Holidays Off,0
Loki Lal,Atq -441,Holidays Off,0
Phoenix Brady,Atq -436,Holidays Off,0
Ana Little,Atq -404,Holidays Off,0
Grace Stone,Atq -397,Holidays Off,0
Tori Shannon,Atq -335,Holidays Off,0
Lyric Bartlett,Atq -443,Holidays Off,0
Kaylah Schultz,Atq -419,Holidays Off,0
Cason David,Atq -467,Holidays Off,0
Miya Hampton,Atq -450,Holidays Off,0
Sofia Solis,Atq -405,Holidays Off,0
Mckayla Parker,Atq -440,Holidays Off,0
Madelynn Gray,Atq -335,Holidays Off,0
Myla Klein,Atq -343,Holidays Off,0
Boston Morse,Atq -334,Holidays Off,0
April Ayers,Atq -446,Holidays Off,0
Faith Hamilton,Atq -419,Holidays Off,0
Janelle Raymond,Atq -393,Holidays Off,0
Joel Cruz,Atq -396,Holidays Off,0
Iris Woodard,Atq -459,Holidays Off,0
Trystan Ortega,Atq -349,Holidays Off,0
Miles Fields,Atq -438,Holidays Off,0
Rodrigo Price,Atq -423,Holidays Off,0
Ella Roth,Atq -370,Holidays Off,0
Jayce Fuentes,Atq -433,Holidays Off,0
Hailee Fitzpatrick,Atq -375,Holidays Off,0
Rey Novak,Atq -475,Holidays Off,0
Macie Callahan,Atq -368,Holidays Off,0
Xiomara Ruiz,Atq -468,Holidays Off,0
